title,pubDate,words,voice,primary_cluster,secondary,disposition,Ev,Se,AI,OE,St,Pr,Str,IPS,tier,desc
How to Host a Lost and Found Party: Turning Hospitality into Outreach,"Tue, 06 Feb 2024 11:00:02 GMT",242,hosts,gospel,disciple_training|testimony,B,7,10,8,6,4,6,7,7.2,T2,"In this episode, Mark and Dave dive deep into the practical application of their three-part strategy for multiplying churches and disciples they shared for 2024. Mark shares the model of a ""Lost and Found Party,"" a unique outreach tool employed in Queens, NYC, demonstrating how hospitality and intentional conversations can lead to gospel engagement and identifying persons of peace. Listeners will "
"Cookies, Clinics, and Calling: A CoVocational Kingdom Story","Tue, 22 Jul 2025 11:00:08 GMT",253,interview/guest,prayer_field,disciple_making|disciple_training,D,9,9,5,7,3,6,7,7.0,T2,"In this episode of the H3X Podcast, Dave Miller and guest co-host Andy Befort sit down with Erin, a physician assistant living out a powerful co-vocational calling in Garden City, Kansas. With a heart for unreached people groups and a stethoscope in hand, Erin shares how prayer, perseverance, and practical love opened doors among her Somali neighbors. What began with failed cookie deliveries turne"
We Are Reading The New Testament Backwards,"Tue, 23 Jun 2026 10:00:00 GMT",108,hosts,cpm_leadership,disciple_making|gospel,B,9,10,6,5,3,4,7,6.85,T2,"Most of us don’t mean to read the New Testament backwards, but we often start with Paul’s conclusions before we understand the story he was living inside. In this episode, Mark and Dave show how the Gospels and Acts give the framework, while the letters make more sense when they are placed back into the movement story.You’ll hear why this changes how you read Galatians, Romans, disciple-making, co"
There’s Enough to Go Around: Escaping the Scarcity Mindset in Ministry,"Tue, 28 Oct 2025 14:08:43 GMT",212,hosts,disciple_training,prayer_field|cpm_leadership,D,9,8,6,5,3,7,7,6.75,T2,"In this episode of the H3X Podcast, Dave Miller reflects on how an old FFA motto — “Learning to do, Doing to learn, Earning to live, Living to serve” — unexpectedly provides a framework for disciple-making and leadership development. Drawing from a recent marketplace ministry discussion, he explores the tension between training and learning, execution and essence, and how the “radical middle” brid"
Inside the Hub Why Immersion Accelerates Movements,"Tue, 12 Aug 2025 10:00:08 GMT",87,hosts,cpm_leadership,disciple_training|disciple_making,B,9,7,6,6,4,6,7,6.7,T2,"What if the fastest way to multiply leaders isn’t another training, but stepping inside an environment where it’s already happening? In this episode, we explore the biblical model in Acts 18–20 and how Paul, Priscilla, and Aquila’s habits and rhythms became the foundation for a multiplying hub. You’ll hear why immersion—seeing it, experiencing it, and living it alongside others—can accelerate adop"
The One Hebrew Word That Will Change the Way You See Work Forever,"Tue, 05 Aug 2025 10:00:08 GMT",151,hosts,disciple_training,prayer_field|disciple_making,D,9,9,8,4,2,4,7,6.7,T2,"What if your 9-to-5 wasn’t separate from your faith—but the very place God designed for worship and disciple-making? In this episode, Jason Cronkhite shares his transformative journey from corporate life to kingdom entrepreneurship, all through the lens of a single Hebrew word: Avodah—work, worship, and service as one. He unpacks how this redefinition of vocation reshapes company culture, client r"
The Rise of Covo Multipliers Why Priscilla & Aquila Hold the Blueprint,"Tue, 29 Apr 2025 10:00:21 GMT",84,hosts,cpm_leadership,disciple_making|disciple_training,B,9,9,7,5,3,3,7,6.7,T2,"In this episode of H3X, we unpack the surprising shift in the Book of Acts that spotlights Priscilla and Aquila—not Paul—as the model of co-vocational, disciple-making leadership. You'll hear how this couple embodies a sustainable, reproducible lifestyle of mission that integrates faith, work, and home. Learn why their story isn’t just biblical history—it’s a blueprint for today’s leaders. We chal"
Reaching Cities with David Broodryk,"Tue, 20 Jul 2021 10:00:17 GMT",63,interview/guest,prayer_field,disciple_making|simple_church,B,9,7,7,7,3,4,7,6.7,T2,"Urbanization and the changes that cities have on relational networks means that we need to reevaluate how to multiply disciples in urban contexts. In this episode (a repost of a YouTube interview), David Broodryk, an experienced urban church planting catalyst, unpacks the challenges of reaching cities and connects Biblical principles with innovative disciple-making processes he and his team have d"
Strategic Persistence: How to Plan for Decades and Live for Today,"Tue, 25 Feb 2025 11:00:07 GMT",92,interview/guest,disciple_making,cpm_leadership,B,9,8,5,7,3,5,6,6.6,T2,"What is the long-term commitment required for effective church multiplication and disciple-making? In this episode we discuss the importance of setting realistic expectations for a big enough vision that it will span decades. We look at the significance of consistent, persistent work in achieving substantial outcomes. The episode emphasizes the necessity of living in the moment and celebrating sma"
The Rhythms of a Multiplier Can’t Be Hacked. They Have to Be Caught.,"Tue, 09 Jun 2026 10:00:00 GMT",100,hosts,cpm_leadership,disciple_making|disciple_training,D,9,9,4,5,3,6,7,6.55,T2,"What if disciple-making is not mainly something you add to your calendar, but something you learn to do with people in the normal flow of life? In this episode, Mark and Dave unpack the rhythms of multiplying leaders by looking at Jesus, Levi, business deliveries, prayer at Topgolf, and the subtle power of “withness.” You’ll hear why classroom teaching alone can’t form disciple-makers and why real"
Why We Do Scripture Deep Dives (And How to Run One),"Tue, 02 Jun 2026 10:00:00 GMT",83,hosts,disciple_training,cpm_leadership,B,9,10,5,4,2,5,7,6.55,T2,"Most Bible studies teach people to understand a passage. Scripture deep dives train leaders to see patterns, solve problems, and follow the way of Jesus in real life. In this episode, Chuck Wood, Dave Miller, and Mark unpack why reading large chunks of Scripture together can shift paradigms faster than another polished teaching session. You’ll hear how deep dives help leaders move from passive lis"
"Anarchy Church vs. Decentralized Ecclesiology: What’s the Difference, Really","Tue, 27 May 2025 10:00:08 GMT",169,hosts,cpm_leadership,disciple_making|disciple_training,B,9,9,6,5,3,3,7,6.55,T2,"What if your discomfort with “church as usual” is actually a holy invitation? In this raw, unscripted episode, Neal Karsten tackles why decentralized ecclesiology is often misunderstood as “anarchy church”—when it’s actually a return to something deeply biblical and beautifully simple. You'll hear stories of people detoxing from religion like it was addiction, and finding Jesus in living rooms, no"
Margin is Your Superpower- How Covocational Leaders Stay Focused and Free,"Tue, 13 May 2025 10:00:09 GMT",157,hosts,cpm_leadership,disciple_training|prayer_field,D,9,9,5,4,2,7,7,6.55,T2,"Most leaders don't have a time problem — they have a margin problem. In this episode, Dave Miller dives deep into how covocational disciple-makers can design their lives around what truly matters. If you’ve ever felt crushed by overcommitment or unsure how to balance business and ministry, this conversation offers a simple, replicable framework that leads to clarity and freedom. Discover the surpr"
Peter Was a Racist & Paul Wasn't Perfect,"Tue, 15 Aug 2023 10:00:02 GMT",98,hosts,cpm_leadership,disciple_making|disciple_training,B,9,10,5,4,2,5,7,6.55,T2,"""Look at Jesus to learn how to make disciples. Look at Paul to learn how to plant churches."" The Book of Acts was clearly written as a model and not just a historical account. How should we faithfully read and apply it, then, in light of of the fact that the leaders modeling the methods in it were flawed, eg. Peter was a racist and Paul wasn't perfect. (Clickbait title, yes we know...but you'll wa"
Charisma Can Fill a Room. Faithfulness Carries a Movement.,"Tue, 14 Jul 2026 10:00:00 GMT",97,solo,cpm_leadership,disciple_training|disciple_making,B,9,10,4,6,2,3,7,6.5,T2,"If you want multiplication, you can’t just aim at mature disciples or healthy churches and assume the other will magically appear. In this solo episode, Mark argues that leaders are the missing link between disciples and churches, and real leaders are formed through responsibility, not just information. The episode presses into why charisma creates false starts, why faithfulness has to be proven l"
Tribe Is the Model: Scaling God’s Way in an Age of Collapse,"Tue, 08 Jul 2025 10:00:08 GMT",80,hosts,cpm_leadership,disciple_training|prayer_field,B,9,9,5,5,3,4,7,6.5,T2,"When institutions crumble and anxiety runs high, most leaders reach for strategy and structure—but that’s not how God moves. In this episode, Mark and Dave make the case that tribe is the model—a trust-based, micro-to-macro way of life that reflects how Jesus and the early church scaled in turbulent times. You’ll hear why movements never start with platforms, but always with people. If you're seri"
Don’t Teach It—Let Them Catch It: The Power of Immersion,"Tue, 17 Jun 2025 10:00:11 GMT",76,hosts,cpm_leadership,gospel|disciple_making,A+FieldNote,9,7,5,7,5,3,7,6.5,T2,"What if you could experience multiplying disciples principles—not just hear about it? In this episode, we drop into an immersive disciple-making trip in South Florida, where young college students catch fire through firsthand gospel sharing and watching others lead boldly. You’ll hear how real-time exposure to the M.A.W.L. model (Model, Assist, Watch, Launch) turns passive learners into multiplyin"
"Messy, Marginal, and Multiplying: God’s Work in the Byways with Rodger Shull","Tue, 01 Apr 2025 10:00:08 GMT",84,interview/guest,cpm_leadership,disciple_making|disciple_training,B,9,10,4,6,2,3,7,6.5,T2,"Roger Shull takes us on a raw, unfiltered journey of disciple-making—from college dorms to fourth-generation churches across Raleigh. He shares the messy, Spirit-led process of multiplication, where broken people find Jesus and unexpected leaders emerge. Through setbacks, burnout, and failures, Roger uncovers how simple obedience, friendship, and the power of ""milk not meat"" transformed his approa"
How Jesus Multiplied Muddy Boots Leaders,"Tue, 01 Aug 2023 10:00:02 GMT",152,hosts,cpm_leadership,gospel|meet_jesus,D,9,9,6,4,2,5,7,6.5,T2,"Jesus was a muddy boots leader that raised up an army from out of the harvest. His investment deeply into a few unfolded in a key stages: Identify, Equip, Invest, and Entrust. In the episode we look at the first chapter of the gospel of Mark to examine keys to unlock the strategy of Jesus and better understand how to follow His muddy boots leadership development. Study Questions: • Identify: What "
The NYPD Chief Who Jumped the Fence (And What It Reveals About Leadership),"Tue, 17 Mar 2026 10:00:03 GMT",110,hosts,cpm_leadership,disciple_making,A+FieldNote,9,6,4,7,5,6,7,6.45,T2,A viral story out of New York shows an NYPD chief in full dress uniform jumping a fence and running toward a suspected bomb threat. Most people see a heroic moment. But that moment didn’t start there. In this episode we unpack why leaders don’t magically rise to the occasion. They fall to the level of their habits. The instincts that show up under pressure are built long before the pressure arrive
What Actually Starts Movements (and What Secretly Stops Them) – with Emmanuel Prinz,"Tue, 24 Jun 2025 10:00:08 GMT",100,interview/guest,cpm_leadership,prayer_field,B,9,8,4,7,3,4,7,6.45,T2,"What if the biggest blockers to movement aren’t out there, but in you? In this raw and research-backed episode, Emmanuel Prinz unpacks What Actually Starts Movements by breaking down the spiritual and strategic shifts he calls ""boosters"" and ""blockers"" that, when addressed, make space for multiplication. You’ll learn why catalysts burn out, what really unlocks momentum, and how to evaluate your ow"
The Missing Link: Why a Community of Practice Was Key to Andy’s Growth,"Tue, 11 Feb 2025 11:00:07 GMT",113,hosts,disciple_training,disciple_making|cpm_leadership,D,7,10,7,4,2,5,7,6.45,T2,"What happens when a leader wrestles with the Word of God in community and puts it into practice? In this episode, Andy shares how digging deep into Scripture with others shaped his vision for making disciples, the struggles he faced, and the breakthroughs that followed. You'll hear firsthand what it takes to move from uncertainty to multiplication—through real conversations, biblical wrestling, an"
What Paul Did Daily For Two Years That Changed Asia Minor Forever,"Tue, 19 Nov 2024 11:00:06 GMT",90,hosts,cpm_leadership,gospel|disciple_making,B,9,10,5,4,2,4,7,6.45,T2,"Let's explore a fascinating tension in Paul's ministry at Ephesus, where slowing down to invest deeply in a few leaders actually accelerated the spread of the gospel throughout Asia Minor. Through conversations about passages like this, along with discipleship, and the pattern of Jesus, hosts Mark and Dave wrestle with how modern ministry leaders can balance the pressure for rapid expansion with t"
